"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-19","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"77",",,W","59",",,W",,,"   50",",,W","   50",",,W","13.0",",,W","19.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-20","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"80",",,W","62",",,W",,,"  220",",,W","  250",",,W","12.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-21","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"82",",,W","64",",,W",,,"  240",",,W","  260",",,W","10.1",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-22","4.03",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"84",",,W","65",",,W",,,"  190",",,W","  200",",,W","10.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-23","4.70",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"88",",,W","70",",,W",,,"  210",",,W","  230",",,W","14.1",",,W","23.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-24","4.25",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"92",",,W","74",",,W",,,"  240",",,W","  250",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-25","3.36",",,W",,,"0.00","T,,W,2400","0.0",",,W,","0.0",",,W,",,,"91",",,W","73",",,W",,,"  260",",,W","  260",",,W","14.1",",,W","28.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-26","3.80",",,W",,,"0.05",",,W,2400","0.0",",,W,","0.0",",,W,",,,"85",",,W","74",",,W",,,"  250",",,W","  250",",,W","12.1",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-27","4.03",",,W",,,"0.24",",,W,2400","0.0",",,W,","0.0",",,W,",,,"86",",,W","73",",,W",,,"  230",",,W","  250",",,W","13.0",",,W","23.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-28","5.14",",,W",,,"0.00","T,,W,2400","0.0",",,W,","0.0",",,W,",,,"85",",,W","73",",,W",,,"  250",",,W","  250",",,W","12.1",",,W","21.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-29","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"83",",,W","71",",,W",,,"  180",",,W","  180",",,W","12.1",",,W","18.1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-30","3.13",",,W",,,"0.00","T,,W,2400","0.0",",,W,","0.0",",,W,",,,"86",",,W","73",",,W",,,"  160",",,W","  180",",,W","10.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-01","3.13",",,W",,,"0.84",",,W,2400","0.0",",,W,","0.0",",,W,",,,"77",",,W","72",",,W",,,"  230",",,W","  210",",,W","14.1",",,W","25.9",",,W",,,,,,,,,,,,
